0,2,1
wait SH lock 536900770760473,,
acquire lock 536900770760473,,
remove lock 536900770760473 from owners,,
retire lock 536900770760473,,
wait EX lock 536900682821076,,
acquire lock 536900682821076,,
remove lock 536900682821076 from owners,,
retire lock 536900682821076,,
wait SH lock 536900920078569,,
acquire lock 536900920078569,,
remove lock 536900920078569 from owners,,
retire lock 536900920078569,,
wait EX lock 536900641547540,,
acquire lock 536900641547540,,
remove lock 536900641547540 from owners,,
retire lock 536900641547540,,
wait SH lock 536900768854278,,
acquire lock 536900768854278,,
remove lock 536900768854278 from owners,,
retire lock 536900768854278,,
wait EX lock 536900716639367,,
acquire lock 536900716639367,,
remove lock 536900716639367 from owners,,
retire lock 536900716639367,,
wait SH lock 536901040004555,,
acquire lock 536901040004555,,
remove lock 536901040004555 from owners,,
retire lock 536901040004555,,
wait EX lock 536900743467055,,
acquire lock 536900743467055,,
remove lock 536900743467055 from owners,,
retire lock 536900743467055,,
wait SH lock 536901135141529,,
acquire lock 536901135141529,,
remove lock 536901135141529 from owners,,
retire lock 536901135141529,,
wait EX lock 536900688935113,,
acquire lock 536900688935113,,
remove lock 536900688935113 from owners,,
retire lock 536900688935113,,
wait SH lock 536900940193091,,
acquire lock 536900940193091,,
remove lock 536900940193091 from owners,,
retire lock 536900940193091,,
wait EX lock 536900696201371,,
acquire lock 536900696201371,,
remove lock 536900696201371 from owners,,
retire lock 536900696201371,,
wait SH lock 536900966663866,,
acquire lock 536900966663866,,
remove lock 536900966663866 from owners,,
retire lock 536900966663866,,
wait EX lock 536900699112590,,
acquire lock 536900699112590,,
remove lock 536900699112590 from owners,,
retire lock 536900699112590,,
wait SH lock 536900977562734,,
acquire lock 536900977562734,,
remove lock 536900977562734 from owners,,
retire lock 536900977562734,,
wait EX lock 536900669102530,,
acquire lock 536900669102530,,
remove lock 536900669102530 from owners,,
retire lock 536900669102530,,
wait SH lock 536900869380247,,
acquire lock 536900869380247,,
remove lock 536900869380247 from owners,,
retire lock 536900869380247,,
wait EX lock 536900703591610,,
acquire lock 536900703591610,,
remove lock 536900703591610 from owners,,
retire lock 536900703591610,,
wait SH lock 536900994051528,,
acquire lock 536900994051528,,
remove lock 536900994051528 from owners,,
retire lock 536900994051528,,
wait EX lock 536900650070103,,
acquire lock 536900650070103,,
remove lock 536900650070103 from owners,,
retire lock 536900650070103,,
wait SH lock 536900801668719,,
acquire lock 536900801668719,,
remove lock 536900801668719 from owners,,
retire lock 536900801668719,,
pre-commit: txn 36's barriers = 0,,
txn 36 set commited,,
release lock 536900801668719 from retired,,
release lock 536900650070103 from retired,,
release lock 536900994051528 from retired,,
release lock 536900703591610 from retired,,
release lock 536900869380247 from retired,,
release lock 536900669102530 from retired,,
release lock 536900977562734 from retired,,
release lock 536900699112590 from retired,,
release lock 536900966663866 from retired,,
release lock 536900696201371 from retired,,
release lock 536900940193091 from retired,,
release lock 536900688935113 from retired,,
release lock 536901135141529 from retired,,
release lock 536900743467055 from retired,,
release lock 536901040004555 from retired,,
release lock 536900716639367 from retired,,
release lock 536900768854278 from retired,,
release lock 536900641547540 from retired,,
release lock 536900920078569 from retired,,
release lock 536900682821076 from retired,,
release lock 536900770760473 from retired,,
release lock 536900642167189 from retired,,
release lock 536900838276113 from retired,,
release lock 536900659807463 from retired,,
release lock 536901044157177 from retired,,
release lock 536900717746242 from retired,,
release lock 536900762153516 from retired,,
release lock 536900639568170 from retired,,
release lock 536900989146807 from retired,,
release lock 536900702278990 from retired,,
release lock 536900749122391 from retired,,
release lock 536901272401159 from retired,,
release lock 536900749115690 from retired,,
start txn 39,,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901158520993,,
acquire lock 536901158520993,,
remove lock 536901158520993 from owners,,
retire lock 536901158520993,,
wait SH lock 536900749118025,,
acquire lock 536900749118025,,
remove lock 536900749118025 from owners,,
retire lock 536900749118025,,
wait EX lock 536900687933632,,
acquire lock 536900687933632,,
remove lock 536900687933632 from owners,,
retire lock 536900687933632,,
wait SH lock 536900936517745,,
acquire lock 536900936517745,,
remove lock 536900936517745 from owners,,
retire lock 536900936517745,,
wait EX lock 536900732297050,,
acquire lock 536900732297050,,
remove lock 536900732297050 from owners,,
retire lock 536900732297050,,
wait SH lock 536901093840037,,
acquire lock 536901093840037,,
remove lock 536901093840037 from owners,,
retire lock 536901093840037,,
wait EX lock 536900736617863,,
acquire lock 536900736617863,,
remove lock 536900736617863 from owners,,
retire lock 536900736617863,,
wait SH lock 536901109996451,,
acquire lock 536901109996451,,
remove lock 536901109996451 from owners,,
retire lock 536901109996451,,
wait EX lock 536900690083963,,
acquire lock 536900690083963,,
remove lock 536900690083963 from owners,,
retire lock 536900690083963,,
wait SH lock 536900944500956,,
acquire lock 536900944500956,,
remove lock 536900944500956 from owners,,
retire lock 536900944500956,,
wait EX lock 536900659544358,,
