ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt,mthroughput
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,239826.0,0.0,0.0,25484.0,0.0,0.0,0.0,0.0,27824.0,0.0,43.6532,575257.0,3.6560900000000003,1.9277400000000002,0.0,0.0,0.0,2.47125,13.2698,18.8784,0.0,0.0,0.0,0.0,165079754.0,1.47098,1569487.0,0.0,113649.0,0.575257
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,1063470.0,0.0,0.0,34532.0,0.0,0.0,0.0,0.0,66981.0,0.0,105.26,238999.0,50.9642,1.69796,0.0,0.0,0.0,1.79787,10.8221,81.9808,0.0,0.0,0.0,0.0,0.0,0.0,1572321.0,0.0,0.0,0.238999
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,1060510.0,0.0,0.0,35948.0,0.0,0.0,0.0,0.0,69116.0,0.0,108.713,231608.0,52.1414,1.79528,0.0,0.0,0.0,2.22587,13.0223,82.1613,0.0,0.0,0.0,0.0,0.0,0.0,1573671.0,0.0,0.0,0.231608
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,861899.0,0.0,0.0,32354.0,0.0,0.0,0.0,0.0,57187.0,0.0,89.9702,279938.0,39.0397,1.75354,0.0,0.0,0.0,1.59863,11.5294,66.8293,0.0,0.0,0.0,0.0,0.0,0.0,1574131.0,0.0,0.0,0.279938
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,687581.0,0.0,0.0,29779.0,0.0,0.0,0.0,0.0,49140.0,0.0,76.4076,325742.0,30.083000000000002,1.7136099999999999,0.0,0.0,0.0,2.10786,12.0865,53.2358,0.0,0.0,0.0,0.0,0.0,0.0,1555572.0,0.0,0.0,0.325742
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,369013.0,0.0,0.0,23104.0,0.0,0.0,0.0,0.0,33029.0,0.0,51.5885,484624.0,15.487,1.7744099999999998,0.0,0.0,0.0,2.23521,13.1625,28.6165,0.0,0.0,0.0,0.0,0.0,0.0,1562565.0,0.0,0.0,0.484624
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,332198.0,0.0,0.0,50651.0,0.0,0.0,0.0,0.0,60890.0,0.0,94.5401,262837.0,15.8766,2.75698,0.0,0.0,0.0,3.06989,17.6837,25.8054,0.0,0.0,0.0,0.0,231608698.0,31.6277,1553038.0,0.0,1293131.0,0.262837
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,301780.0,0.0,0.0,41890.0,0.0,0.0,0.0,0.0,49836.0,0.0,77.5272,321139.0,12.3435,2.50415,0.0,0.0,0.0,2.55872,14.6862,23.3942,0.0,0.0,0.0,0.0,206504219.0,23.8059,1556062.0,0.0,1187807.0,0.321139
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,262469.0,0.0,0.0,41443.0,0.0,0.0,0.0,0.0,48185.0,0.0,74.3118,332145.0,10.3797,2.58987,0.0,0.0,0.0,2.84139,16.3206,20.4197,0.0,0.0,0.0,0.0,208942520.0,22.2705,1542643.0,0.0,1059319.0,0.332145
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,192787.0,0.0,0.0,29388.0,0.0,0.0,0.0,0.0,32949.0,0.0,51.6394,485711.0,5.56936,2.32178,0.0,0.0,0.0,2.19049,13.8418,14.9532,0.0,0.0,0.0,0.0,196101311.0,11.6955,1567615.0,0.0,803143.0,0.485711
