ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,IC3_EAGER_EXEC,IC3_MODIFIED_TPCC,IC3_RENDEZVOUS,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 3818, 0, 0, 0, 17524,0,0,0,0, 17590, 0, 7.01105,226602, 0.571886, 0.704379, 0.130099, 0, 0, 0, 0.174563, -1.53525, 0.155203, 0, 0, 0, 0, 0, 0, 2.80313, 397179, 0, 1988, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 393077, 0, 0, 0, 37930,0,0,0,0, 63157, 0, 43.7804,126773, 17.4656, 1.55883, 0, 0, 0, 0, 0.354991, 2.50788, 31.6348, 0, 0, 0, 0, 0, 0, 0, 693770, 0, 3448, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 6576, 0, 0, 0, 47670,0,0,0,0, 47775, 0, 38.3175,166621, 0.273569, 0.972706, 0, 0, 0, 0, 0.44473, 4.36832, 0.225402, 0, 0, 0, 0, 0, 133169346, 30.0157, 798062, 0, 3966, 838571
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 15597, 0, 0, 0, 21765,0,0,0,0, 21972, 0, 17.565,362499, 0.241403, 6.13908, 4.36617, 0, 0, 0, 0.443784, 11.6554, 0.955829, 0, 0, 0, 0, 0, 0, 0.473274, 795910, 0, 3918, 308831
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 12633, 0, 0, 0, 34085,0,0,0,0, 34386, 0, 27.4893,231684, 7.05295, 1.65741, 0.426016, 0, 0, 0, 0.369503, -14.5603, 0.702665, 0, 0, 0, 0, 0, 0, 17.575, 796103, 0, 4026, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 1451645, 0, 0, 0, 50336,0,0,0,0, 104394, 0, 148.717,153458, 76.9194, 4.34615, 0, 0, 0, 0, 0.710068, 5.24607, 117.477, 0, 0, 0, 0, 0, 0, 0, 1426366, 0, 7197, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 12313, 0, 0, 0, 95667,0,0,0,0, 95883, 0, 153.984,166024, 1.12444, 1.9679, 0, 0, 0, 0, 0.882033, 9.24386, 0.368804, 0, 0, 0, 0, 0, 264570897, 136.264, 1597819, 0, 8140, 1686555
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 48188, 0, 0, 0, 47112,0,0,0,0, 47675, 0, 76.1746,334663, 1.10974, 43.3749, 36.9099, 0, 0, 0, 0.862484, 57.7038, 3.2715, 0, 0, 0, 0, 0, 0, 4.10592, 1593299, 0, 7860, 959161
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 42805, 0, 0, 0, 68293,0,0,0,0, 69568, 0, 111.426,228974, 64.6609, 3.46058, 0.910146, 0, 0, 0, 0.738357, -81.6799, 2.80125, 0, 0, 0, 0, 0, 0, 87.9308, 1594604, 0, 8017, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 3829540, 0, 0, 0, 57164,0,0,0,0, 148215, 0, 361.739,216221, 222.016, 7.69128, 0, 0, 0, 0, 0.956255, 7.64658, 306.138, 0, 0, 0, 0, 0, 0, 0, 2444230, 0, 12330, 0
