ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,16,0,false,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.863644,115788.391416,0.000000,0.034681,0.114897,0.307358,0.003028,0.000000,0.000000,100000
1,CLV,16,0,false,100000,4,true,16,TPCC,30507,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,40.027267,614635.421104,0.349490,15.558336,1.060767,27.073855,0.050738,0.000000,0.280351,1537636
1,CLV,16,0,false,100000,4,true,8,TPCC,5415,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,11.798019,489543.860123,0.030566,2.998466,0.477184,7.199430,0.022623,0.000000,0.024360,721956
1,CLV,16,0,false,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.736819,417441.651970,0.000000,0.218992,0.352833,1.834451,0.010710,0.000000,0.000134,389976
1,CLV,16,0,false,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.627653,239779.638508,0.000000,0.095886,0.165938,0.795883,0.005200,0.000000,0.000026,195139
1,CLV,16,0,false,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.818007,122248.413755,0.000000,0.036367,0.123490,0.295932,0.002663,0.000000,0.000000,100000
1,CLV,16,0,false,100000,2,true,16,TPCC,82773,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,51.008718,492275.688975,1.531123,24.151325,0.979625,36.821190,0.053747,0.000000,1.220015,1569397
1,CLV,16,0,false,100000,2,true,8,TPCC,14348,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,18.518812,343945.167288,0.148199,7.141211,0.489725,12.757470,0.025657,0.000000,0.140233,796182
1,CLV,16,0,false,100000,2,true,4,TPCC,2325,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,6.021048,250525.808102,0.016768,1.592685,0.244001,3.758220,0.011421,0.000000,0.010331,377107
1,CLV,16,0,false,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.629242,232030.652573,0.000000,0.094580,0.166381,0.867845,0.005091,0.000000,0.000077,189017
1,CLV,16,0,false,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.654576,152770.762375,0.000000,0.035425,0.071200,0.236360,0.002691,0.000000,0.000000,100000
1,CLV,16,0,false,100000,1,true,16,TPCC,182470,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000075,119.176146,213657.522294,7.875091,59.037581,0.907550,76.494452,0.056622,0.000000,19.691351,1591430
1,CLV,16,0,false,100000,1,true,8,TPCC,41443,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,24.436867,260601.328526,0.761605,11.503644,0.402143,17.415310,0.026807,0.000000,0.657893,796035
1,CLV,16,0,false,100000,1,true,4,TPCC,6907,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.711597,182050.193457,0.068705,3.401306,0.216988,5.973688,0.012058,0.000000,0.065052,396487
1,CLV,16,0,false,100000,1,true,2,TPCC,1059,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,2.822842,139975.241236,0.006609,0.745018,0.094194,1.777137,0.005693,0.000000,0.005270,197564
1,CLV,16,0,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.573263,174439.946770,0.000000,0.033824,0.066818,0.188283,0.002577,0.000000,0.000000,100000
