ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.75,True,True,1024*1024*20,16,YCSB,False,0,3455945,0,0,23.726556,16,15,338271,3.0457549999999998,1.349038,0.320616,7.623407,2.810447,19.199991,2.379687,0,0,6.3e-05,373.288315,67313.63127,274.989284,34.299984,2.26237,24.397107000000002,265.116807,0.0,0.046008,1570462,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.75,True,True,1024*1024*20,32,YCSB,False,0,11479521,0,0,55.539343,32,31,1077312,11.215597,8.053533,1.46848,36.785531,8.946352000000001,33.478229,2.508352,0,0,7.900000000000001e-05,1178.691584,85909.22455,927.6435710000001,94.03739,3.3120260000000004,43.906898,886.136164,0.0,1.695416,3164390,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,1.0,True,True,1024*1024*20,16,YCSB,False,0,5383791,0,0,24.751043,16,15,842526,5.486084,2.607873,0.557901,16.561307,4.08478,64.038537,2.770051,0,0,5.5e-05,595.432403,38967.150389999995,515.1057450000001,91.01161,3.957355,28.441352000000002,414.404208,0.0,0.143723,1450144,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,16,YCSB,False,0,2,0,0,10.46782,1,1,0,0.0,0.0,0.0,0.9389700000000001,0.0,0.0,#NAME?,0,0,0.000366,585.119016,43751.78261,2.7000000000000002e-05,1.704766,6.662036,20.929465,0.018221,0.196856,547.851399,1600000,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,16,YCSB,False,0,1,0,0,10.341264,1,1,0,0.0,0.0,0.0,0.7888689999999999,0.0,0.0,#NAME?,0,0,0.00037,591.320269,43292.95193,1.3000000000000001e-05,1.6063690000000002,6.820276,21.006531,0.017939,0.200212,553.710495,1600000,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,16,YCSB,False,0,1,0,0,10.133166000000001,1,1,0,0.0,0.0,0.0,0.7703899999999999,0.0,0.0,#NAME?,0,0,0.000354,567.192078,45134.6219,3.5e-05,1.541966,6.524076,20.215895,0.017856999999999998,0.180251,530.9507530000001,1600000,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,16,YCSB,False,0,0,0,0,10.25729,0,0,0,0.0,0.0,0.0,0.7714840000000001,0.0,0.0,#NAME?,0,0,0.00037400000000000004,598.748556,42755.84423,0.0,1.5388620000000002,7.410761999999999,21.185696,0.017932,0.192957,560.675524,1600000,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,16,YCSB,False,0,3,0,0,10.264845,1,1,0,0.0,0.0,0.0,0.78218,0.0,0.0,#NAME?,0,0,0.000368,589.236187,43446.075730000004,7.3e-05,1.615077,6.951025,20.882285999999997,0.018065,0.175836,551.780701,1600000,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,16,YCSB,False,0,245675,0,0,10.303445,1,1,0,0.0,0.0,0.0,1.080902,0.0,0.0,#NAME?,0,0,2.7000000000000002e-05,49.539188,497279.3636,7.4430190000000005,1.8590380000000002,2.741755,15.115144,18.918046,0.14111300000000002,0.647932,1539676,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,32,YCSB,False,0,36863,0,0,28.642822999999996,1,1,0,0.0,0.0,0.0,6.806373,0.0,0.0,#NAME?,0,0,9e-05,288.992713,352377.3838,3.150387,9.026475,9.013682000000001,53.599584,2.9577240000000002,0.384446,201.457533,3182328,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,16,YCSB,False,0,2342,0,0,10.681534,1,1,0,0.0,0.0,0.0,1.55389,0.0,0.0,#NAME?,0,0,6.9e-05,110.988955,230398.422,0.21948,2.4411560000000003,5.145499,20.795191,0.19895,0.171087,74.65028000000001,1598230,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,32,YCSB,False,0,84,0,0,21.018773,1,1,0,0.0,0.0,0.0,4.020518,0.0,0.0,#NAME?,0,0,0.000149,476.299887,214949.9566,0.057985,5.996004,8.499335,44.03825,0.035627,0.406879,404.432128,3199395,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,16,YCSB,False,0,8,0,0,10.521736,1,1,0,0.0,0.0,0.0,1.325895,0.0,0.0,#NAME?,0,0,0.000164,261.682271,97821.22396,0.007209999999999999,2.2082330000000003,5.440831,20.844126,0.014722,0.186993,225.803625,1599880,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,32,YCSB,False,0,14,0,0,20.769998,1,1,0,0.0,0.0,0.0,2.796823,0.0,0.0,#NAME?,0,0,0.00031600000000000004,1012.41544,101138.023,0.009937,4.551405,9.464603,42.802473,0.028865,0.35497399999999996,941.0596210000001,3199803,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,16,YCSB,False,0,3,0,0,10.335385,1,1,0,0.0,0.0,0.0,1.1409559999999999,0.0,0.0,#NAME?,0,0,0.000258,412.55244700000003,62051.901920000004,0.004053,1.934248,6.02091,20.689383,0.0141,0.16396,376.44262000000003,1599979,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,32,YCSB,False,0,10,0,0,20.156395,1,1,0,0.0,0.0,0.0,2.281628,0.0,0.0,#NAME?,0,0,0.000488,1560.785868,65606.99077,0.006976,3.921763,10.390621000000001,41.364404,0.027581,0.318191,1490.184777,3199952,,,,,,,,,,,,,,,,,
50000,WOUND\_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,16,YCSB,False,0,2,0,0,10.336753999999999,1,1,0,0.0,0.0,0.0,0.786419,0.0,0.0,#NAME?,0,0,0.000349,558.056049,45873.52839,4.7e-05,1.6603459999999999,5.942259,20.129761,0.017603999999999998,0.201158,522.4128509999999,1600000,,,,,,,,,,,,,,,,,
