ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 558309, 0, 37719,0,0,0,0, 51014, 79.5992,313805, 20.7122, 9.54382, 4.7907, 0, 0, 2.0024, 19.6929, 43.1581, 0, 0, 0, 0, 0, 0.625419, 1561166, 0, 203438
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 1, 0, 17794,0,0,0,0, 17794, 27.0087,899178, 1.6557e-05, 1.41513, 0.0171751, 0, 0, 1.90068, 14.876, 0.03335, 0, 0, 0, 0, 0, 3.3794e-05, 1517849, 0, 33
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 0, 0, 19053,0,0,0,0, 19053, 29.1876,839749, 0, 1.50981, 0.063528, 0, 0, 2.00216, 16.3544, 0.0328086, 0, 0, 0, 0, 0, 2.9371e-05, 1531889, 0, 27
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 6, 0, 21391,0,0,0,0, 21391, 33.1877,747956, 7.4212e-05, 1.67583, 0.0256451, 0, 0, 2.87922, 19.4058, 0.0376203, 0, 0, 0, 0, 0, 0.000166192, 1551434, 0, 135
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 8, 0, 19188,0,0,0,0, 19188, 29.499,833816, 0.000118138, 1.53175, 0.038108, 0, 0, 2.36364, 16.6191, 0.0349835, 0, 0, 0, 0, 0, 0.000114005, 1537296, 0, 131
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 442, 0, 20193,0,0,0,0, 20198, 31.2812,792152, 0.00680434, 1.71563, 0.0722514, 0, 0, 2.30419, 18.3189, 0.0707046, 0, 0, 0, 0, 0, 0.00120978, 1548719, 0, 1273
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 357, 0, 16859,0,0,0,0, 16863, 25.5841,948819, 0.0052822, 1.49874, 0.0642218, 0, 0, 1.6836, 14.5054, 0.0613512, 0, 0, 0, 0, 0, 0.00163471, 1517168, 0, 1283
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15090, 0, 19133,0,0,0,0, 19323, 29.2449,828091, 0.284046, 2.39226, 0.539214, 0, 0, 2.32488, 16.5731, 1.20993, 0, 0, 0, 0, 0, 0.014582, 1513587, 0, 12631
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15507, 0, 19313,0,0,0,0, 19485, 29.8005,821204, 0.259672, 2.61195, 0.730576, 0, 0, 2.38449, 16.8978, 1.24428, 0, 0, 0, 0, 0, 0.0883548, 1529516, 0, 13088
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 170401, 0, 24566,0,0,0,0, 27225, 42.195,587899, 4.10747, 4.83233, 2.22484, 0, 0, 2.02768, 16.7539, 13.2043, 0, 0, 0, 0, 0, 0.169071, 1550402, 0, 69687
