ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,8,true,true,TPCC,false,, 3836, 1,, 9801,0,0,0,0, 9801,, 7.46298,809535, 0, 0.890401, 0.00820924, 0.152782, 2.2961, 0.6972, 4.17321, 0.015196, 0.101385, 0.436382, 0.0820285, 0.231725, 0, 2.001e-06, 755193, 3836, 3
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,16,true,true,TPCC,false,, 12453, 2,, 11422,0,0,0,0, 11445,, 17.1787,1.3872e+06, 0.035289, 2.63323, 0.543746, 0.449514, 4.83666, 1.11769, 9.77423, 0.407684, 0.252819, 1.0381, 0.182208, 0.528956, 0, 0.0169972, 1489389, 7605, 38033
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,16,true,true,TPCC,false,, 12566, 2,, 11355,0,0,0,0, 11379,, 17.4311,1.39545e+06, 0.0364892, 2.64397, 0.554672, 0.449084, 4.88628, 1.32463, 9.79605, 0.416571, 0.258226, 1.0174, 0.181213, 0.514216, 0, 0.0156653, 1520260, 7622, 38620
50000,12,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,16,true,true,TPCC,false,, 12448, 2,, 11127,0,0,0,0, 11150,, 16.8591,1.42401e+06, 0.0349083, 2.63213, 0.532294, 0.451885, 4.71321, 1.24976, 9.59752, 0.403302, 0.260464, 1.02007, 0.180834, 0.506541, 0, 0.0165439, 1500475, 7655, 37398
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,32,true,true,TPCC,false,, 49729, 4,, 17099,0,0,0,0, 17259,, 51.8154,1.84197e+06, 0.477915, 11.3929, 5.32574, 1.4336, 9.38834, 3.59168, 30.414, 2.99197, 1.06177, 2.93006, 0.795916, 1.43432, 0, 0.243159, 2982572, 14856, 266313
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,32,true,true,TPCC,false,, 46526, 4,, 18255,0,0,0,0, 18412,, 52.5071,1.7267e+06, 0.44396, 12.0948, 6.04847, 1.50328, 9.94044, 3.6049, 32.0126, 2.63309, 1.00479, 3.06224, 0.714456, 1.44722, 0, 0.216068, 2833245, 14102, 266837
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,32,true,true,TPCC,false,, 49345, 4,, 19483,0,0,0,0, 19659,, 59.0512,1.61718e+06, 0.528036, 13.0172, 6.28889, 1.75618, 11.2947, 4.62922, 34.4945, 2.86044, 1.10025, 3.40059, 0.749051, 1.63234, 0, 0.294588, 2984259, 14895, 276077
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,1,true,true,TPCC,false,, 522, 0,, 7836,0,0,0,0, 7836,, 0.789685,126633, 0, 0.0680504, 0.00119237, 0.0212633, 0.122312, 0.117664, 0.334135, 0.00220795, 0.0186984, 0.0178825, 0, 0, 0, 0, 100000, 522, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,2,true,true,TPCC,false,, 948, 1,, 11129,0,0,0,0, 11129,, 2.09215,178246, 0, 0.216986, 0.00205654, 0.0396534, 0.506323, 0.250639, 1.10785, 0.00385434, 0.0253444, 0.105732, 0.0243569, 0.0574235, 0, 0, 186458, 948, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,4,true,true,TPCC,false,, 1872, 1,, 12772,0,0,0,0, 12772,, 4.86339,310784, 0, 0.47886, 0.00453146, 0.0865621, 1.15358, 0.571044, 2.57919, 0.00850897, 0.0567838, 0.23379, 0.058079, 0.126384, 0, 0, 377866, 1872, 0
