ABORT_PENALTY,BB_OPT_RAW,CC_ALG,COMMUTATIVE_OPS,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,1,false,TPCC,false, 0, 5954,0,0,0,0, 5954, 0.595427,167947, 0, 0.0659408, 0.00119157, 0.0209311, 0.148437, 0.0629779, 0.313914, 0.00214273, 0.0177191, 0.0171669, 0, 0, 0, 0, 100000, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,1,false,TPCC,false, 0, 6311,0,0,0,0, 6311, 0.631172,158435, 0, 0.0592461, 0.00106071, 0.0192769, 0.149992, 0.0713784, 0.318986, 0.00195079, 0.0162316, 0.0146722, 0, 0, 0, 0, 100000, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,2,false,TPCC,false, 5, 7681,0,0,0,0, 7681, 1.53169,260367, 9.3913e-05, 0.192349, 0.00347068, 0.0428281, 0.479906, 0.142447, 0.92685, 0.00476744, 0.0298716, 0.0989167, 0.0201446, 0.0305147, 0, 3.327e-06, 199400, 0, 4
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,2,false,TPCC,false, 0, 7412,0,0,0,0, 7412, 1.46068,269814, 0, 0.147582, 0.00205979, 0.0387774, 0.466194, 0.151467, 0.84863, 0.00378762, 0.0239138, 0.0664354, 0.0187058, 0.0283916, 0, 0, 197056, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,2,false,TPCC,false, 0, 7463,0,0,0,0, 7463, 1.45645,267978, 0, 0.149126, 0.00208936, 0.0387344, 0.438493, 0.148165, 0.804416, 0.00388098, 0.0247213, 0.0671649, 0.0205827, 0.0286288, 0, 0, 195148, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,2,false,TPCC,false, 0, 8008,0,0,0,0, 8008, 1.57533,249736, 0, 0.150227, 0.00213711, 0.0389654, 0.475127, 0.182655, 0.841068, 0.00388719, 0.0248333, 0.0677514, 0.0202447, 0.0289434, 0, 0, 196709, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,4,false,TPCC,false, 60, 7383,0,0,0,0, 7385, 2.8751,541605, 0.000739325, 0.413792, 0.00973992, 0.0775771, 0.932966, 0.27157, 1.7297, 0.0135341, 0.0569287, 0.227532, 0.0366608, 0.0553153, 0, 2.1234e-05, 389292, 0, 37
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,4,false,TPCC,false, 18, 8117,0,0,0,0, 8117, 3.20445,492743, 0.000275903, 0.369626, 0.00677925, 0.0806049, 1.09258, 0.31847, 1.8643, 0.0101953, 0.0572191, 0.189636, 0.0396359, 0.0586874, 0, 1.1225e-05, 394743, 0, 15
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,4,false,TPCC,false, 0, 7787,0,0,0,0, 7787, 3.10044,513657, 0, 0.307399, 0.00415178, 0.0762885, 0.964126, 0.298709, 1.64357, 0.00764859, 0.0485391, 0.145254, 0.0376997, 0.0568717, 0, 0, 398141, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,4,false,TPCC,false, 1, 8534,0,0,0,0, 8534, 3.37479,468687, 2.7335e-05, 0.29796, 0.004154, 0.0764266, 1.04716, 0.377067, 1.73205, 0.00774109, 0.0488138, 0.135371, 0.0378493, 0.0567718, 0, 5.81e-07, 395430, 0, 1
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,8,false,TPCC,false, 797, 9345,0,0,0,0, 9360, 7.17184,854672, 0.0115888, 1.16873, 0.0410803, 0.169433, 2.37906, 0.541666, 4.66691, 0.0793388, 0.120671, 0.746376, 0.0747981, 0.110297, 0, 0.000167382, 766196, 0, 269
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,8,false,TPCC,false, 299, 8364,0,0,0,0, 8369, 6.4979,955808, 0.00409927, 0.832097, 0.0216376, 0.162309, 2.03858, 0.577639, 3.8763, 0.042175, 0.117546, 0.448457, 0.0786875, 0.111789, 0, 4.7351e-05, 776343, 0, 87
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,8,false,TPCC,false, 118, 8956,0,0,0,0, 8958, 6.85937,892980, 0.00166797, 0.739478, 0.0143322, 0.158694, 2.30644, 0.637766, 3.91503, 0.0266518, 0.108148, 0.385423, 0.0774106, 0.114595, 0, 1.9588e-05, 765660, 0, 32
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,8,false,TPCC,false, 4, 8421,0,0,0,0, 8421, 6.32687,949959, 5.4093e-05, 0.588602, 0.00799808, 0.14566, 1.95948, 0.65816, 3.34141, 0.014884, 0.0942422, 0.276628, 0.0736954, 0.107409, 0, 3.898e-06, 751284, 0, 5
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,16,false,TPCC,false, 2188, 21532,0,0,0,0, 21572, 29.3512,741685, 0.0548586, 9.27385, 0.116131, 0.368277, 10.8668, 0.993604, 23.2807, 0.207586, 0.284075, 8.31472, 0.171302, 0.224095, 0, 0.000524218, 1360585, 0, 475
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,16,false,TPCC,false, 2771, 8826,0,0,0,0, 8850, 13.6498,1.80773e+06, 0.0380647, 2.0013, 0.075932, 0.334942, 4.12689, 1.05186, 8.19501, 0.251356, 0.239437, 1.18167, 0.150478, 0.223371, 0, 0.0002211, 1542190, 0, 368
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,16,false,TPCC,false, 1406, 9060,0,0,0,0, 9073, 13.7551,1.76341e+06, 0.0195043, 1.55467, 0.0459342, 0.306982, 4.49293, 1.2399, 7.74982, 0.14463, 0.218516, 0.836133, 0.145246, 0.215055, 0, 0.000128424, 1515988, 0, 239
