ABORT_PENALTY,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,16,true,TPCC,false, 6195,0,0,0,0, 10333, 13.0205,1.53749e+06, 0.000929107, 0.855729, 0, 0, 0, 2.49417, 4.25413, 0.0197789, 0, 0, 0, 0, 0, 0, 1251174, 6155, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,32,true,TPCC,false, 2856069,0,0,0,0, 37813, 244.527,385363, 133.039, 4.10375, 0, 0, 0, 0.844781, 4.25319, 212.802, 0, 0, 0, 0, 0, 0, 2944747, 14749, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,32,true,TPCC,false, 1886300,0,0,0,0, 32220, 170.778,546923, 76.5787, 3.5639, 0, 0, 0, 0.949167, 4.95537, 140.039, 0, 0, 0, 0, 0, 0, 2918831, 14846, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,32,true,TPCC,false, 1060912,0,0,0,0, 24203, 107.389,870814, 36.4999, 3.05526, 0, 0, 0, 1.05308, 5.50391, 81.151, 0, 0, 0, 0, 0, 0, 2922381, 14917, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,32,true,TPCC,false, 579193,0,0,0,0, 18677, 70.9023,1.24537e+06, 19.2023, 2.76983, 0, 0, 0, 1.7197, 6.85473, 43.955, 0, 0, 0, 0, 0, 0, 2759371, 13795, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,32,true,TPCC,false, 255310,0,0,0,0, 14447, 47.2017,1.85221e+06, 7.53725, 2.44647, 0, 0, 0, 3.06532, 8.31213, 18.8936, 0, 0, 0, 0, 0, 0, 2732101, 13806, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,32,true,TPCC,false, 9670,0,0,0,0, 18991, 36.3437,1.67211e+06, 0.00598036, 2.03097, 0, 0, 0, 8.91071, 15.5369, 0.0474339, 0, 0, 0, 0, 0, 0, 1899087, 9533, 0
50000,false,WOUND_WAIT,false,true,true,LH_SPINLOCK,100000,1,0.5,true,1,true,TPCC,false, 503,0,0,0,0, 4189, 0.422193,236859, 0, 0.0252514, 0, 0, 0, 0.0602169, 0.196946, 0.000935986, 0, 0, 0, 0, 2162829, 0, 100000, 503, 0
50000,false,WOUND_WAIT,false,true,true,LH_SPINLOCK,100000,2,0.5,true,1,true,TPCC,false, 468,0,0,0,0, 4384, 0.441533,226483, 0, 0.0251459, 0, 0, 0, 0.0600007, 0.196174, 0.000932037, 0, 0, 0, 0, 2162696, 0, 100000, 468, 0
50000,false,WOUND_WAIT,false,true,true,LH_SPINLOCK,100000,4,0.5,true,1,true,TPCC,false, 514,0,0,0,0, 5006, 0.504564,198191, 0, 0.0279613, 0, 0, 0, 0.07369, 0.222561, 0.00103205, 0, 0, 0, 0, 2429793, 0, 100000, 514, 0
