ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,16,YCSB,false,0,2801773,0,0,13.306772,16.000000,15.000000,271060.000000,3.272320,2.655983,0.994837,6.682300,2.233982,16.021570,2.483015,0.000000,0.000000,0.000053,301.008644,83712.094415,217.752075,27.550245,3.118249,17.570042,216.288359,0.000000,0.139380,1574879
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,32,YCSB,false,0,9150883,0,0,42.512395,32.000000,30.000000,909394.000000,9.885865,13.282114,3.566875,35.623861,7.467953,35.192057,2.571454,0.000000,0.000000,0.000072,967.258173,103340.252691,741.288721,84.733441,4.008758,37.770932,704.450341,0.000000,6.711096,3123647
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,16,YCSB,false,0,4095614,0,0,15.019879,16.000000,15.000000,599812.000000,4.078627,4.131797,1.523519,10.903252,2.739147,34.678847,2.583456,0.000000,0.000000,0.000043,423.668142,58103.363306,357.030357,51.623398,3.492165,19.899946,314.527272,0.000000,0.202303,1538534
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,32,YCSB,false,0,12140315,0,0,40.577125,32.000000,31.000000,1455820.000000,11.243254,15.068028,4.443576,41.130063,8.310955,57.157252,2.734342,0.000000,0.000000,0.000060,1203.782603,79469.312604,1024.772245,113.975293,3.869057,34.938371,930.077664,0.000000,3.364784,2989493
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,16,YCSB,false,0,263717,0,0,10.399722,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.546995,0.000000,0.000000,-nan,0.000000,0.000000,0.000033,58.823365,413154.467174,9.325598,2.505876,3.472559,16.688549,20.398996,0.205981,4.581520,1518946
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,32,YCSB,false,0,23126,0,0,29.622120,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,6.994315,0.000000,0.000000,-nan,0.000000,0.000000,0.000093,293.621596,339056.041032,3.024099,9.069349,8.490180,56.149543,1.896044,0.410096,205.291280,3111068
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,16,YCSB,false,0,2832,0,0,10.979158,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.654406,0.000000,0.000000,-nan,0.000000,0.000000,0.000075,120.332839,212392.895296,0.305925,2.587354,5.962720,22.816311,0.239599,0.188675,81.385992,1597365
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,32,YCSB,false,0,77,0,0,21.498718,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.057833,0.000000,0.000000,-nan,0.000000,0.000000,0.000154,491.624246,208249.452330,0.024543,6.033874,9.884508,46.841658,0.036522,0.376008,415.622730,3199390
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,16,YCSB,false,0,6,0,0,10.686926,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.322084,0.000000,0.000000,-nan,0.000000,0.000000,0.000177,282.401707,90645.967817,0.007736,2.203262,6.650755,22.714795,0.015481,0.211405,243.396955,1599911
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,32,YCSB,false,0,9,0,0,20.782420,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.848111,0.000000,0.000000,-nan,0.000000,0.000000,0.000354,1132.377101,90424.944071,0.006690,4.682764,13.241399,46.886740,0.030353,0.361664,1052.561548,3199848
