ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.9, 0, 13759,0,0,0,0, 13759, 1.37591,72679.1, 0, 0.0376306, 0.00153605, 0, 0, 0.25682, 0.748663, 0.00306686, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.99, 0, 10815,0,0,0,0, 10815, 1.08158,92457.5, 0, 0.0364251, 0.00153481, 0, 0, 0.222565, 0.576989, 0.00305828, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.5, 0, 19886,0,0,0,0, 19886, 1.98869,50284.3, 0, 0.0393026, 0.00154267, 0, 0, 0.327025, 1.11284, 0.00306683, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.7, 0, 18402,0,0,0,0, 18402, 1.84024,54340.7, 0, 0.0383491, 0.0015417, 0, 0, 0.308845, 1.01818, 0.00306591, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.9, 0, 13808,0,0,0,0, 13808, 1.3808,72421.7, 0, 0.0373431, 0.00154191, 0, 0, 0.25435, 0.749564, 0.00306796, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.99, 0, 10841,0,0,0,0, 10841, 1.08414,92239, 0, 0.0362256, 0.00154295, 0, 0, 0.220307, 0.576394, 0.00307165, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,2,YCSB,false,0.5, 0, 59577,0,0,0,0, 59577, 11.7597,33569.6, 0, 0.274884, 0.00475715, 0, 0, 2.61869, 7.4987, 0.0056862, 0, 0, 0, 0, 0, 0, 197384, 0, 0
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,2,YCSB,false,0.7, 0, 39963,0,0,0,0, 39963, 7.95865,50045.2, 0, 0.246069, 0.0116081, 0, 0, 1.46438, 5.00549, 0.00552412, 0, 0, 0, 0, 0, 3.169e-06, 199146, 0, 3
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,2,YCSB,false,0.9, 343, 35729,0,0,0,0, 35781, 6.7359,55894.5, 0.00990346, 0.339427, 0.081592, 0, 0, 1.25562, 4.24036, 0.0321277, 0, 0, 0, 0, 0, 0.000204949, 188250, 0, 239
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,2,YCSB,false,0.99, 3242, 23159,0,0,0,0, 23492, 4.65634,85135.9, 0.0658943, 0.364957, 0.114257, 0, 0, 0.699122, 2.76718, 0.257173, 0, 0, 0, 0, 0, 0.000347705, 198211, 0, 672
