ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 51, 0, 24278,0,0,0,0, 24279, 37.1996,658997, 0.000979294, 2.39398, 0.0194171, 0.736591, 11.5268, 3.36387, 21.7564, 0.0392522, 0.306761, 1.17323, 0.258101, 0.648501, 0, 2.0477e-05, 1532149, 0, 3
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 21638,0,0,0,0, 21638, 33.5878,739421, 0, 2.39346, 0.0209437, 0.529505, 10.9507, 2.84881, 19.318, 0.0351156, 0.307161, 1.17101, 0.21405, 0.578411, 0, 4.0763e-05, 1552222, 0, 29
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 177, 0, 21463,0,0,0,0, 21464, 33.2834,745409, 0.00261974, 2.43966, 0.0337636, 0.708869, 10.9029, 2.41676, 19.3975, 0.0498853, 0.312782, 1.16188, 0.212934, 0.613085, 0, 1.7333e-05, 1550609, 0, 13
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 353, 0, 20285,0,0,0,0, 20289, 31.2622,788594, 0.00634109, 2.48032, 0.0839781, 0.581161, 10.142, 2.71232, 18.131, 0.0629343, 0.31062, 1.17315, 0.206436, 0.609876, 0, 0.000723733, 1540825, 0, 997
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 8057, 0, 20981,0,0,0,0, 21065, 32.7338,759545, 0.130176, 2.51815, 0.0752024, 0.734498, 10.3272, 2.59681, 18.5262, 0.663451, 0.325604, 1.19831, 0.21223, 0.688957, 0, 0.000485128, 1553927, 0, 613
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 184069, 0, 31093,0,0,0,0, 34515, 53.0265,463579, 5.2557, 7.53314, 3.65158, 1.20509, 9.11542, 3.35957, 23.614, 14.2735, 0.619395, 1.97974, 0.337794, 0.873022, 0, 0.0446886, 1536373, 0, 58345
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 283619, 0, 27902,0,0,0,0, 34098, 53.0634,469255, 9.63925, 5.07583, 1.40339, 1.12809, 7.9582, 2.10194, 17.4424, 21.984, 0.574816, 1.82967, 0.272049, 0.904131, 0, 0.0254103, 1556266, 0, 40511
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 959973, 0, 41748,0,0,0,0, 66735, 105.538,239774, 39.5094, 10.3346, 4.82224, 1.84066, 5.37972, 1.84389, 16.1306, 73.9816, 1.01517, 2.73027, 0.378969, 1.13972, 0, 0.0679012, 1581587, 0, 202211
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 1033601, 0, 40876,0,0,0,0, 70754, 111.379,226156, 47.0262, 9.95194, 4.24353, 1.79343, 5.66897, 1.63303, 15.7003, 79.7675, 1.0376, 2.85697, 0.382203, 1.37562, 0, 0.064223, 1574315, 0, 179551
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 86, 0, 18568,0,0,0,0, 18568, 27.9282,861654, 0.00095164, 2.04024, 0, 0.250402, 9.95458, 2.25966, 15.6405, 0.0392435, 0.225909, 0.971035, 0, 0, 166740524, 0.00104699, 1504030, 0, 181
