ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,NO_WAIT,pf,100000,2,true,4,TPCC,7235074,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,5.541990,270766.294489,1.735381,0.405581,0.365650,2.169126,0.263453,0.000000,0.000000,375146
1,NO_WAIT,pf,100000,2,true,2,TPCC,27,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.599600,249327.334950,0.000199,0.088569,0.175375,0.808748,0.005382,0.000000,0.000000,199412
1,NO_WAIT,pf,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.666751,149980.961717,0.000000,0.041334,0.074387,0.307348,0.002504,0.000000,0.000000,100000
1,NO_WAIT,pf,100000,1,true,16,TPCC,27468906,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000282,432.631949,56771.729573,371.636712,24.865467,1.422008,53.827280,0.937819,0.000000,0.000000,1535079
1,NO_WAIT,pf,100000,1,true,8,TPCC,10857800,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000081,60.821103,98829.512735,46.318447,4.582500,0.645134,11.283394,0.394565,0.000000,0.000000,751365
1,NO_WAIT,pf,100000,1,true,4,TPCC,8021152,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,11.638016,127627.943631,6.973243,0.962082,0.329714,3.051814,0.297563,0.000000,0.000000,371334
1,NO_WAIT,pf,100000,1,true,2,TPCC,3726246,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.860722,136628.457009,0.903875,0.211700,0.173418,1.164350,0.129992,0.000000,0.000000,195428
1,NO_WAIT,pf,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.601203,166333.052463,0.000000,0.041036,0.070033,0.292791,0.002854,0.000000,0.000000,100000
1,WOUND_WAIT,pf,100000,16,true,16,TPCC,31,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,20.312570,1046132.133369,0.000413,0.848505,3.423678,10.046944,0.301589,0.234070,0.000688,1328102
1,WOUND_WAIT,pf,100000,16,true,8,TPCC,12,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,8.353523,692312.428881,0.000202,0.378896,1.412178,3.814763,0.125964,0.094220,0.000209,722906
