ABORT_PENALTY,CC_ALG,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,1000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000081,0.144609,24548.971090,0.000000,0.001416,0.025464,0.087580,0.000071,0.000000,0.000000,1775
1,CLV,1000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.019185,52123.435802,0.000000,0.000641,0.001962,0.007521,0.000046,0.000000,0.000000,1000
1,CLV,100000,4,true,16,TPCC,31400,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,41.896281,605368.093021,0.363028,16.423866,1.195175,28.545962,0.052836,0.000000,0.246245,1585167
1,CLV,100000,4,true,8,TPCC,5648,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,13.235416,454357.909801,0.038390,3.410306,0.549237,8.068909,0.024247,0.000000,0.028272,751702
1,CLV,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.505600,443364.933743,0.000000,0.215129,0.331266,1.701104,0.010500,0.000000,0.000158,388565
1,CLV,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.891847,201286.887983,0.000000,0.094531,0.214328,1.036586,0.005206,0.000000,0.000017,190402
1,CLV,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.700013,142854.542904,0.000000,0.034256,0.102883,0.239518,0.002529,0.000000,0.000000,100000
1,CLV,1000,2,true,16,TPCC,1711,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000068,0.793479,235983.664498,0.044572,0.376642,0.037172,0.585025,0.000695,0.000000,0.008051,11703
1,CLV,1000,2,true,8,TPCC,283,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.298913,162830.074479,0.005195,0.098609,0.020731,0.211249,0.000297,0.000000,0.001340,6084
1,CLV,1000,2,true,4,TPCC,33,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,0.165212,67428.602613,0.000545,0.035640,0.018713,0.118055,0.000128,0.000000,0.000431,2785
1,CLV,1000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.065694,44631.364414,0.000000,0.001318,0.009115,0.041723,0.000064,0.000000,0.000016,1466
1,CLV,1000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.020461,48874.058979,0.000000,0.000464,0.002784,0.009980,0.000034,0.000000,0.000000,1000
1,CLV,100000,2,true,16,TPCC,80967,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,51.912323,482381.956038,1.592111,24.422832,0.972168,37.301116,0.054407,0.000000,1.276657,1565098
1,CLV,100000,2,true,8,TPCC,14977,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,18.093408,341515.761407,0.154285,6.984098,0.485319,12.460278,0.026869,0.000000,0.123562,772398
1,CLV,100000,2,true,4,TPCC,2518,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,6.468285,244235.389367,0.018351,1.722729,0.249823,4.038221,0.012407,0.000000,0.011551,394946
1,CLV,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.795102,217819.372541,0.000000,0.096809,0.174822,0.957867,0.005239,0.000000,0.000093,195504
