IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_MODIFIED_TPCC,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,IC3_RENDEZVOUS,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
false,0, 0,false, 2.02379, 0,100000,false, 7748,0.5, 0, 0.700203,0,LH_MCSLOCK,50000,IC3,2, 42577, 1.80203,TPCC, 1562064, -45.1774,false, 49.2265,true,0,false,true,false,true,16,true,0, 0, 0, 66.7898,0, 0, 0.984246, 0, 0, 42361, 19891, 0.0882656, 0,true,true,374204, 0, 0
true,0, 0,false, 2.38551, 0,100000,false, 7600,0.5, 0, 0.500216,0,LH_MCSLOCK,50000,IC3,4, 18635, 2.13078,TPCC, 1523252, -8.49289,false, 12.2496,true,0,false,true,true,true,16,true,0, 0, 0, 28.4859,0, 0, 0.664024, 0, 0, 18561, 15667, 0.330921, 0,true,true,855582, 0, 0
false,0, 0,false, 0.980793, 0,100000,false, 7773,0.5, 0, 0.775715,0,LH_MCSLOCK,50000,IC3,4, 24058, 1.77884,TPCC, 1541151, -16.4375,false, 20.4408,true,0,false,true,false,true,16,true,0, 0, 0, 37.2055,0, 0, 0.390563, 0, 0, 24006, 12121, 0.092, 0,true,true,662763, 0, 0
true,0, 0,false, 0.432729, 0,100000,false, 7233,0.5, 0, 0.696073,0,LH_MCSLOCK,50000,IC3,8, 11308, 1.35388,TPCC, 1435914, -0.598523,false, 3.38967,true,0,false,true,true,true,16,true,0, 0, 0, 16.282,0, 0, 0.141416, 0, 0, 11301, 8670, 0.0679012, 0,true,true,1.41104e+06, 0, 0
false,0, 0,false, 0.364048, 0,100000,false, 6382,0.5, 0, 0.848332,0,LH_MCSLOCK,50000,IC3,8, 15242, 1.41853,TPCC, 1252413, -2.3342,false, 5.79043,true,0,false,true,false,true,16,true,0, 0, 0, 19.1389,0, 0, 0.11203, 0, 0, 15235, 7083, 0.0465141, 0,true,true,1.04701e+06, 0, 0
true,0, 0,false, 0.0489929, 0,100000,false, 7483,0.5, 0, 1.24751,0,LH_MCSLOCK,50000,IC3,16, 9629, 1.03277,TPCC, 1454806, 3.05188,false, 0.111954,true,0,false,true,true,true,16,true,0, 0, 0, 14.0478,0, 0, 0.0306249, 0, 0, 9629, 7483, 0.0127593, 0,true,true,1.65698e+06, 0, 0
false,0, 0,false, 0.0441144, 0,100000,false, 6543,0.5, 0, 1.3706,0,LH_MCSLOCK,50000,IC3,16, 10001, 0.93812,TPCC, 1309929, 2.99311,false, 0.0622366,true,0,false,true,false,true,16,true,0, 0, 0, 13.1361,0, 0, 0.0278078, 0, 0, 10001, 6543, 0.0118848, 0,true,true,1.59552e+06, 0, 0
true,0, 0,false, 381.42, 0,100000,false, 15729,0.5, 0, 1.24382,0,LH_MCSLOCK,50000,IC3,1, 140760, 9.71464,TPCC, 3171710, -370.951,false, 381.075,true,0,false,true,true,true,32,true,0, 0, 0, 448.465,0, 0, 13.4266, 0, 0, 135176, 187450, 1.2409, 0,true,true,226316, 0, 0
false,0, 0,false, 24.2426, 0,100000,false, 15985,0.5, 0, 1.07251,0,LH_MCSLOCK,50000,IC3,1, 157647, 6.43263,TPCC, 3191786, -445.121,false, 452.995,true,0,false,true,false,true,32,true,0, 0, 0, 505.511,0, 0, 8.14785, 0, 0, 154092, 119156, 0.208921, 0,true,true,202047, 0, 0
true,0, 0,false, 133.426, 0,100000,false, 15443,0.5, 0, 1.21845,0,LH_MCSLOCK,50000,IC3,2, 73993, 5.7084,TPCC, 3103014, -172.952,false, 183.1,true,0,false,true,true,true,32,true,0, 0, 0, 230.616,0, 0, 6.98453, 0, 0, 72605, 104449, 1.21427, 0,true,true,430571, 0, 0
false,0, 0,false, 9.7637, 0,100000,false, 15988,0.5, 0, 1.19481,0,LH_MCSLOCK,50000,IC3,2, 86832, 4.12801,TPCC, 3142974, -223.908,false, 232.501,true,0,false,true,false,true,32,true,0, 0, 0, 274.174,0, 0, 4.1961, 0, 0, 85900, 68918, 0.192349, 0,true,true,366829, 0, 0
true,0, 0,false, 31.6826, 0,100000,false, 15679,0.5, 0, 1.3221,0,LH_MCSLOCK,50000,IC3,4, 39310, 5.4548,TPCC, 3120335, -70.1963,false, 80.584,true,0,false,true,true,true,32,true,0, 0, 0, 123.161,0, 0, 3.56285, 0, 0, 38926, 60577, 1.21339, 0,true,true,810731, 0, 0
false,0, 0,false, 4.47488, 0,100000,false, 15592,0.5, 0, 1.41874,0,LH_MCSLOCK,50000,IC3,4, 48465, 4.03305,TPCC, 3073623, -100.618,false, 110.292,true,0,false,true,false,true,32,true,0, 0, 0, 149.588,0, 0, 2.08728, 0, 0, 48208, 40831, 0.201104, 0,true,true,657514, 0, 0
true,0, 0,false, 5.43199, 0,100000,false, 14017,0.5, 0, 1.83821,0,LH_MCSLOCK,50000,IC3,8, 22944, 4.34848,TPCC, 2784470, -18.4201,false, 27.9906,true,0,false,true,true,true,32,true,0, 0, 0, 64.1082,0, 0, 1.18016, 0, 0, 22855, 28194, 0.641612, 0,true,true,1.38989e+06, 0, 0
false,0, 0,false, 2.03946, 0,100000,false, 14399,0.5, 0, 1.60996,0,LH_MCSLOCK,50000,IC3,8, 27138, 3.5345,TPCC, 2802747, -33.2391,false, 42.0535,true,0,false,true,false,true,32,true,0, 0, 0, 76.325,0, 0, 0.726449, 0, 0, 27078, 22471, 0.175657, 0,true,true,1.17508e+06, 0, 0
true,0, 0,false, 0.904246, 0,100000,false, 12495,0.5, 0, 2.03345,0,LH_MCSLOCK,50000,IC3,16, 13309, 2.65282,TPCC, 2474215, -0.88397,false, 6.90005,true,0,false,true,true,true,32,true,0, 0, 0, 33.015,0, 0, 0.217185, 0, 0, 13302, 14598, 0.141002, 0,true,true,2.39815e+06, 0, 0
false,0, 0,false, 0.674242, 0,100000,false, 12439,0.5, 0, 1.90189,0,LH_MCSLOCK,50000,IC3,16, 13981, 2.29788,TPCC, 2485752, -5.24822,false, 10.227,true,0,false,true,false,true,32,true,0, 0, 0, 34.8417,0, 0, 0.205895, 0, 0, 13975, 13798, 0.0715567, 0,true,true,2.28301e+06, 0, 0
false,0, 0,false, 0.00328268, 0,100000,false, 503,0.5, 0, 0.0564883,0,LH_MCSLOCK,50000,BAMBOO,1, 4666, 0.0226614,TPCC, 100000, 0.18329,false, 0,true,0,false,true,false,true,1,true,0, 0, 0, 0.469949,0, 0, 0.00198713, 0, 0, 4666, 503, 0.000891957, 0,true,true,212789, 0, 0
false,0, 0,false, 0.00355866, 0,100000,false, 524,0.5, 0, 0.056983,0,LH_MCSLOCK,50000,BAMBOO,2, 4779, 0.022522,TPCC, 100000, 0.185943,false, 0,true,0,false,true,false,true,1,true,0, 0, 0, 0.481463,0, 0, 0.00196582, 0, 0, 4779, 524, 0.000851003, 0,true,true,207700, 0, 0
false,0, 0,false, 0.00392061, 0,100000,false, 514,0.5, 0, 0.0719937,0,LH_MCSLOCK,50000,BAMBOO,4, 5491, 0.023651,TPCC, 100000, 0.20476,false, 0,true,0,false,true,false,true,1,true,0, 0, 0, 0.553037,0, 0, 0.00198799, 0, 0, 5491, 514, 0.000900191, 0,true,true,180820, 0, 0
